"Name","Type","Detection.Method","Mass","Radius","Flux","Tsurf","Period","Distance","Age","ESI","Habitable"
"","","",442.396022174535,5.71547389127325,842.853577881192,971.489553461696,79940.7559943925,2271.62176407314,4.37450250455373,0.257026875699888,"No"
"MWC 758 c","A Cold","Imaging",442.396022174535,5.71547389127325,0.001,971.489553461696,79940.7559943925,520,0.004,0.257026875699888,"No"
"LkCa 15 c","K Cold","Imaging",442.396022174535,5.71547389127325,0.0019,971.489553461696,79940.7559943925,515,0.001,0.257026875699888,"No"
"TOI-1634 c","M Warm","Radial Velocity",442.396022174535,5.71547389127325,0.24,971.489553461696,103,115,4.37450250455373,0.257026875699888,"No"
"KIC 10001893 b","B Hot","Orbital Brightness Modulation",442.396022174535,5.71547389127325,879310,971.489553461696,0.22,5456,4.37450250455373,0.257026875699888,"No"
"KIC 10001893 c","B Hot","Orbital Brightness Modulation",442.396022174535,5.71547389127325,521081,971.489553461696,0.33,5456,4.37450250455373,0.257026875699888,"No"
"KIC 10001893 d","B Hot","Orbital Brightness Modulation",442.396022174535,5.71547389127325,153975,971.489553461696,0.81,5456,4.37450250455373,0.257026875699888,"No"
"LkCa 15 b","K Cold","Imaging",442.396022174535,5.71547389127325,0.003,971.489553461696,79940.7559943925,515,0.001,0.257026875699888,"No"
"Kepler-37 b","G Hot Miniterran","Transit",0.79,0.31,46.1,971.489553461696,13.4,208,7.6,0.23,"No"
"PSR B1257+12 b","PSR Miniterran","Pulsar Timing",0.02,0.34,842.853577881192,971.489553461696,25.3,1956,3,0.257026875699888,"No"
"Kepler-37 e","K Hot Miniterran","Transit Timing Variations",8.1,0.37,7.62,971.489553461696,51.2,208,10,0.37,"Yes"
"Kepler-444 b","K Hot Miniterran","Transit",0.037,0.4,218,971.489553461696,3.6,118,11.2,0.24,"No"
"Kepler-102 b","K Hot Terran","Transit",1.1,0.46,85.9,874,5.29,351,1.1,0.26,"No"
"Kepler-444 c","K Hot Miniterran","Transit",0.079,0.5,165,971.489553461696,4.55,118,11.2,0.26,"No"
"KOI-4777.01","M Hot Subterran","Transit",99.2,0.51,357,1251,0.41,561,4,0.26,"No"
"Kepler-1994 b","G Hot Miniterran","Transit",0.087,0.51,323,971.489553461696,4.61,789,12.9,0.26,"No"
"Kepler-1308 b","M Hot Miniterran","Transit",0.093,0.52,50.2,971.489553461696,2.1,367,3.72,0.28,"No"
"Kepler-444 d","K Hot Subterran","Transit",0.2,0.53,106,917,6.19,118,11.2,0.27,"No"
"Kepler-62 c","K Hot Subterran","Transit",4,0.54,24.3,638,12.4,981,7,0.32,"Yes"
"Kepler-444 e","K Hot Miniterran","Transit",0.1,0.55,78,971.489553461696,7.74,118,11.2,0.28,"No"
"Kepler-102 c","K Hot Terran","Transit",1.7,0.57,58.3,793,7.07,351,1.1,0.29,"Yes"
"Kepler-42 d","M Hot Subterran","Transit",0.13,0.57,10.1,513,1.87,130,4.5,0.39,"Yes"
"Kepler-1583 b","G Hot Subterran","Transit",0.16,0.6,132,976,9.33,1317,4.27,0.28,"No"
"Kepler-1998 b","G Hot Subterran","Transit",0.16,0.6,523,1376,3.03,1112,4.7,0.27,"No"
"Kepler-1087 b","G Hot Subterran","Transit",0.17,0.61,3651,2236,0.69,1182,3.55,0.27,"No"
"K2-89 b","M Hot Subterran","Transit",0.17,0.61,222,1106,1.1,280,4.37450250455373,0.28,"No"
"Kepler-1877 b","G Hot Subterran","Transit",0.18,0.62,679,1469,2.38,930,0.4,0.28,"No"
"K2-137 b","M Hot Subterran","Transit",158,0.64,975,1607,0.18,322,4.37450250455373,0.28,"No"
"Kepler-1371 c","G Hot Subterran","Transit",0.2,0.64,844,1550,2.01,1680,4.37,0.28,"No"
"Kepler-138 b","M Hot Miniterran","Transit",0.07,0.64,9.87,971.489553461696,10.3,218,4.68,0.4,"Yes"
"Kepler-1130 d","G Hot Subterran","Transit",0.2,0.65,214,1100,4.27,813,13.8,0.28,"No"
"Kepler-1351 b","K Hot Subterran","Transit",0.21,0.65,427,1308,0.92,661,4.17,0.28,"No"
"Kepler-1542 c","G Hot Subterran","Transit",0.21,0.65,776,1518,2.89,1301,8.51,0.28,"No"
"Kepler-271 d","G Hot Subterran","Transit",0.22,0.66,179,1052,5.25,1319,4.57,0.29,"Yes"
"Kepler-431 c","F Hot Subterran","Transit",0.23,0.67,438,1316,8.7,1586,4.34,0.28,"No"
"Kepler-1558 b","K Hot Subterran","Transit",0.24,0.68,188,1066,3.5,1062,4.9,0.29,"Yes"
"LHS 1678 b","M Hot Subterran","Transit",0.35,0.69,94.4,896,0.86,64.8,7,0.3,"Yes"
"K2-116 b","K Hot Subterran","Transit",0.26,0.69,78,854,4.66,161,4.37450250455373,0.3,"Yes"
"Kepler-141 b","K Hot Subterran","Transit",0.26,0.69,235,1126,3.11,982,12.4,0.29,"Yes"
"EPIC 201497682 b","K Hot Subterran","Transit",0.26,0.69,192,1071,2.13,825,4.37450250455373,0.29,"Yes"
"GJ 367 b","M Hot Terran","Transit",0.63,0.7,576,1408,0.32,30.7,4.37450250455373,0.28,"No"
"Kepler-378 c","K Hot Subterran","Transit",0.27,0.7,8.03,484,28.9,496,3.24,0.44,"Yes"
"Kepler-1349 b","F Hot Subterran","Transit",0.27,0.7,1894,1898,2.13,901,2.88,0.28,"No"
"K2-266 c","K Hot Subterran","Transit",0.29,0.7,32.6,687,7.81,252,4.37450250455373,0.32,"Yes"
"Kepler-1339 b","G Hot Subterran","Transit",0.28,0.71,2815,2095,1.34,1210,5.62,0.28,"No"
"Kepler-1559 b","G Hot Subterran","Transit",0.3,0.72,1634,1829,0.97,2005,4.27,0.28,"No"
"Kepler-1850 b","K Hot Subterran","Transit",0.31,0.73,364,1257,1.39,816,13.8,0.29,"Yes"
"Kepler-124 b","K Hot Subterran","Transit",0.32,0.73,224,1113,3.41,1370,1.82,0.29,"Yes"
"Kepler-1371 b","G Hot Subterran","Transit",0.32,0.73,410,1294,3.45,1680,4.37,0.29,"Yes"
"Kepler-42 c","M Hot Subterran","Transit",0.32,0.73,66.6,821,0.45,130,4.5,0.3,"Yes"
"K2-147 b","M Hot Subterran","Transit",0.32,0.73,201,1084,0.96,295,4.37450250455373,0.29,"Yes"
"Kepler-1967 b","K Hot Subterran","Transit",0.32,0.73,50.2,765,7.28,812,4.37450250455373,0.31,"Yes"
"Kepler-345 b","K Hot Subterran","Transit",0.5,0.74,73.4,842,7.42,848,2.75,0.3,"Yes"
"Kepler-125 c","M Hot Subterran","Transit",0.33,0.74,18.1,593,5.77,598,13.5,0.36,"Yes"
"Kepler-1869 c","G Hot Subterran","Transit",0.33,0.74,1136,1670,1.72,368,6.3,0.29,"Yes"
"Kepler-444 f","K Hot Subterran","Transit",0.33,0.74,59.7,786,9.74,118,11.2,0.31,"Yes"
"Kepler-1963 b","G Hot Subterran","Transit",0.34,0.74,620,1435,1.96,1607,4.37450250455373,0.29,"Yes"
"HD 23472 d","K Hot Terran","Transit",0.55,0.75,128,968,3.98,127,4.37450250455373,0.3,"Yes"
"Kepler-378 b","K Hot Subterran","Transit",0.35,0.75,17.6,589,16.1,496,3.24,0.36,"Yes"
"Kepler-1563 b","G Hot Subterran","Transit",0.35,0.75,500,1360,3.43,2011,4.07,0.29,"Yes"
"Kepler-1864 b","G Hot Subterran","Transit",0.35,0.75,449,1324,3.88,974,4.37450250455373,0.29,"Yes"
"TRAPPIST-1 h","M Cold Subterran","Transit",0.33,0.76,0.14,177,18.8,40.5,0.5,0.46,"Yes"
"Kepler-37 c","G Hot Terran","Transit",1.3,0.76,24.8,640,21.3,208,7.6,0.34,"Yes"
"KOI-55 b","B Hot Subterran","Orbital Brightness Modulation",0.44,0.76,636352,8125,0.24,4015,4.37450250455373,0.29,"Yes"
"Kepler-1542 b","G Hot Subterran","Transit",0.36,0.76,512,1368,3.95,1301,8.51,0.29,"Yes"
"Kepler-1542 e","G Hot Subterran","Transit",0.36,0.76,365,1257,5.1,1301,8.51,0.29,"Yes"
"Kepler-1588 b","G Hot Subterran","Transit",0.36,0.76,396,1283,7.85,3014,5.5,0.29,"Yes"
"K2-413 b","K Hot Subterran","Transit",0.36,0.76,1073,1646,0.81,930,4.37450250455373,0.29,"Yes"
"Kepler-1402 b","G Hot Subterran","Transit",0.36,0.76,2705,2074,2.03,4871,4.57,0.29,"Yes"
"Kepler-1619 b","G Hot Subterran","Transit",0.36,0.76,81.6,864,23.6,2396,4.27,0.3,"Yes"
"Kepler-431 b","F Hot Subterran","Transit",0.37,0.76,608,1429,6.8,1586,4.34,0.29,"Yes"
"Kepler-1629 b","G Hot Subterran","Transit",0.38,0.77,312,1209,3.88,1096,4.27,0.29,"Yes"
"Kepler-1982 b","F Hot Subterran","Transit",0.38,0.77,899,1575,3.82,1822,4.37450250455373,0.29,"Yes"
"Kepler-653 c","G Hot Subterran","Transit",0.4,0.78,3801,2259,0.9,1942,7.76,0.29,"Yes"
"Kepler-42 b","M Hot Subterran","Transit",0.4,0.78,17.8,591,1.21,130,4.5,0.36,"Yes"
"Kepler-783 b","G Hot Subterran","Transit",0.4,0.78,243,1136,4.29,1683,3.89,0.29,"Yes"
"TRAPPIST-1 d","M Warm Subterran","Transit",0.39,0.79,1.12,295,4.05,40.5,0.5,0.91,"Yes"
"Kepler-390 c","K Hot Subterran","Transit",0.42,0.79,43.6,739,13.1,1419,3.24,0.32,"Yes"
"Kepler-1566 b","K Hot Subterran","Transit",0.42,0.79,2497,2033,0.54,1521,5.01,0.29,"Yes"
